"Story","Title","Result","Date","Stability","Duration (s)"
"Services test","This will get all the services","SUCCESS","2022-06-07T23:18:44.500+01:00[Europe/London]","0.0","0.03"
"Services test","This will create new services","SUCCESS","2022-06-07T23:18:44.535+01:00[Europe/London]","0.0","0.26"
"Services test","Get single services","SUCCESS","2022-06-07T23:18:44.800+01:00[Europe/London]","0.0","0.02"
"Services test","Delete services","SUCCESS","2022-06-07T23:18:44.821+01:00[Europe/London]","0.0","0.03"
"Services test","Update services","SUCCESS","2022-06-07T23:18:44.851+01:00[Europe/London]","0.0","0.02"
